rank,record_key,pmid,pmcid,doi,priority_tier,recommendation,confidence,exclusion_reason,abstract_available,title,rationale,matched_signals,founder_decision_recorded
29,MED:31531391,31531391,PMC6733897,10.1038/s41523-019-0124-8,direct,unclear,moderate,,true,Robust and interpretable PAM50 reclassification exhibits survival advantage for myoepithelial and immune phenotypes.,"The abstract contains relevant classifier and reliability signals, but direct eligibility is not unambiguous from deterministic rules.",domain_in_title|domain_in_record|strong_method_in_title|strong_method_in_record|classifier_method|outcome_or_treatment_in_title,false
30,MED:25338319,25338319,PMC4223539,10.1007/s10549-014-3163-8,direct,exclude,moderate,no_relevant_discordance_stability_or_classifier_method,true,"Development of a robust RNA-based classifier to accurately determine ER, PR, and HER2 status in breast cancer clinical samples.","The title and abstract do not jointly establish a qualifying single-sample classifier reliability, uncertainty, preprocessing, or transport method.",strong_method_in_title|strong_method_in_record|classifier_method,false
31,MED:41757539,41757539,PMC13071543,10.1111/bju.70202,direct,exclude,moderate,no_relevant_discordance_stability_or_classifier_method,true,Prediction Analysis of Microarray of 50 genes (PAM50) classifier validated for predicting prostate cancer progression in active surveillance: Miami Active Surveillance Trial (MAST).,"The title and abstract do not jointly establish a qualifying single-sample classifier reliability, uncertainty, preprocessing, or transport method.",domain_in_title|domain_in_record|classifier_method,false
32,MED:42190396,42190396,,10.1016/j.ejca.2026.116818,direct,exclude,high,no_relevant_discordance_stability_or_classifier_method,true,Association between chemotherapy use and prognosis in young patients with stage I-II ER+ /HER2-negative breast cancer according to Prosigna®: An international real-world analysis with propensity-score matching.,"The record uses a relevant subtype or assay for prognosis, treatment, or outcome association without a qualifying reliability-method focus.",domain_in_title|domain_in_record|outcome_or_treatment_in_title,false
33,MED:39747865,39747865,PMC11696812,10.1038/s41467-024-55583-2,direct,unclear,moderate,,true,The spatially informed mFISHseq assay resolves biomarker discordance and predicts treatment response in breast cancer.,"The abstract contains relevant classifier and reliability signals, but direct eligibility is not unambiguous from deterministic rules.",domain_in_record|strong_method_in_title|strong_method_in_record|classifier_method|outcome_or_treatment_in_title,false
34,MED:39821037,39821037,,10.1007/978-3-031-70875-6_21,direct,exclude,moderate,no_relevant_discordance_stability_or_classifier_method,true,Clinical Implications of Breast Cancer Intrinsic Subtypes.,"The title and abstract do not jointly establish a qualifying single-sample classifier reliability, uncertainty, preprocessing, or transport method.",domain_in_title|domain_in_record|classifier_method,false
35,MED:41463257,41463257,PMC12731632,10.3390/cancers17244010,direct,exclude,high,no_relevant_discordance_stability_or_classifier_method,true,PAM50 Intrinsic Subtypes and Immunity Status in Prognosis of Triple-Negative Breast Cancer: A Retrospective Cohort Study.,"The record uses a relevant subtype or assay for prognosis, treatment, or outcome association without a qualifying reliability-method focus.",domain_in_title|domain_in_record|classifier_method|outcome_or_treatment_in_title,false
36,MED:37939142,37939142,PMC10870119,10.1158/1078-0432.ccr-23-0561,direct,exclude,high,no_relevant_discordance_stability_or_classifier_method,true,"Intrinsic Subtype and Overall Survival of Patients with Advanced HR+/HER2- Breast Cancer Treated with Ribociclib and ET: Correlative Analysis of MONALEESA-2, -3, -7.","The record uses a relevant subtype or assay for prognosis, treatment, or outcome association without a qualifying reliability-method focus.",domain_in_title|domain_in_record|classifier_method|outcome_or_treatment_in_title,false
37,MED:38384489,38384489,PMC10878706,10.1159/000534634,direct,unclear,moderate,,true,"Use of the Gene Expression Test Prosigna<sup>®</sup> in Premenopausal Patients with HR+, HER2- Early Breast Cancer: Correlation of the Results with the Proliferation Marker Ki-67.","The abstract contains relevant classifier and reliability signals, but direct eligibility is not unambiguous from deterministic rules.",domain_in_title|domain_in_record|strong_method_in_record|classifier_method,false
38,MED:38503615,38503615,,10.1016/j.clbc.2024.02.016,direct,exclude,high,no_relevant_discordance_stability_or_classifier_method,true,Clinical Outcomes and Intrinsic Subtypes of Breast Cancer Patients with Single Hormone Receptor-positive Receiving Neoadjuvant Chemotherapy.,"The record uses a relevant subtype or assay for prognosis, treatment, or outcome association without a qualifying reliability-method focus.",domain_in_title|domain_in_record|classifier_method|outcome_or_treatment_in_title,false
39,MED:38546612,38546612,PMC10979363,10.1001/jamaoncol.2023.7304,direct,unclear,moderate,,true,"Tumor Intrinsic Subtypes and Gene Expression Signatures in Early-Stage ERBB2/HER2-Positive Breast Cancer: A Pooled Analysis of CALGB 40601, NeoALTTO, and NSABP B-41 Trials.","The abstract contains relevant classifier and reliability signals, but direct eligibility is not unambiguous from deterministic rules.",domain_in_title|domain_in_record|strong_method_in_record|classifier_method,false
40,MED:39256703,39256703,PMC11385137,10.1186/s12885-024-12867-6,direct,exclude,high,no_relevant_discordance_stability_or_classifier_method,true,PAM50 breast cancer subtypes and survival of patients in rural Ethiopia without adjuvant treatment: a prospective observational study.,"The record uses a relevant subtype or assay for prognosis, treatment, or outcome association without a qualifying reliability-method focus.",domain_in_title|domain_in_record|classifier_method|outcome_or_treatment_in_title,false
41,MED:39272208,39272208,PMC11395215,10.1186/s13058-024-01876-9,direct,exclude,moderate,no_relevant_discordance_stability_or_classifier_method,true,"A triple hormone receptor ER, AR, and VDR signature is a robust prognosis predictor in breast cancer.","The title and abstract do not jointly establish a qualifying single-sample classifier reliability, uncertainty, preprocessing, or transport method.",strong_method_in_title|strong_method_in_record|classifier_method|outcome_or_treatment_in_title,false
42,MED:37266756,37266756,PMC10300149,10.1007/s10549-023-06969-1,direct,exclude,high,no_relevant_discordance_stability_or_classifier_method,true,"PAM50 intrinsic subtypes, risk of recurrence score and breast cancer survival in HIV-positive and HIV-negative patients-a South African cohort study.","The record uses a relevant subtype or assay for prognosis, treatment, or outcome association without a qualifying reliability-method focus.",domain_in_title|domain_in_record|strong_method_in_record|classifier_method|outcome_or_treatment_in_title,false
43,MED:35534504,35534504,PMC9085780,10.1038/s41523-022-00423-z,direct,exclude,high,no_relevant_discordance_stability_or_classifier_method,true,PAM50 subtyping and ROR score add long-term prognostic information in premenopausal breast cancer patients.,"The record uses a relevant subtype or assay for prognosis, treatment, or outcome association without a qualifying reliability-method focus.",domain_in_title|domain_in_record|classifier_method|outcome_or_treatment_in_title,false
44,MED:36282363,36282363,PMC9633534,10.1007/s10549-022-06769-z,direct,unclear,moderate,,true,Intrinsic subtypes in Ethiopian breast cancer patient.,"The abstract contains relevant classifier and reliability signals, but direct eligibility is not unambiguous from deterministic rules.",domain_in_title|domain_in_record|strong_method_in_record|classifier_method,false
45,MED:34504086,34504086,PMC8429676,10.1038/s41523-021-00320-x,direct,exclude,moderate,no_relevant_discordance_stability_or_classifier_method,true,Proteomics-derived basal biomarker DNA-PKcs is associated with intrinsic subtype and long-term clinical outcomes in breast cancer.,"The title and abstract do not jointly establish a qualifying single-sample classifier reliability, uncertainty, preprocessing, or transport method.",domain_in_title|domain_in_record|classifier_method,false
46,MED:34964996,34964996,PMC9305900,10.1002/jso.26780,direct,exclude,moderate,no_relevant_discordance_stability_or_classifier_method,true,High concordance of 70-gene recurrence risk signature and 80-gene molecular subtyping signature between core needle biopsy and surgical resection specimens in early-stage breast cancer.,"The title and abstract do not jointly establish a qualifying single-sample classifier reliability, uncertainty, preprocessing, or transport method.",strong_method_in_title|strong_method_in_record|classifier_method|outcome_or_treatment_in_title,false
47,MED:32140564,32140564,PMC7044229,10.1038/s41523-020-0148-0,direct,exclude,high,no_relevant_discordance_stability_or_classifier_method,true,The Prosigna 50-gene profile and responsiveness to adjuvant anthracycline-based chemotherapy in high-risk breast cancer patients.,"The record uses a relevant subtype or assay for prognosis, treatment, or outcome association without a qualifying reliability-method focus.",domain_in_title|domain_in_record|classifier_method|outcome_or_treatment_in_title,false
48,MED:32843527,32843527,,10.1158/1078-0432.ccr-20-1731,direct,exclude,high,no_relevant_discordance_stability_or_classifier_method,true,<i>PIK3CA</i> Mutation in the ShortHER Randomized Adjuvant Trial for Patients with Early HER2<sup>+</sup> Breast Cancer: Association with Prognosis and Integration with PAM50 Subtype.,"The record uses a relevant subtype or assay for prognosis, treatment, or outcome association without a qualifying reliability-method focus.",domain_in_title|domain_in_record|strong_method_in_record|classifier_method|outcome_or_treatment_in_title,false
49,MED:30653259,30653259,,10.1002/ijc.32139,direct,exclude,moderate,no_relevant_discordance_stability_or_classifier_method,true,Summary of head-to-head comparisons of patient risk classifications by the 21-gene Recurrence Score® (RS) assay and other genomic assays for early breast cancer.,"The title and abstract do not jointly establish a qualifying single-sample classifier reliability, uncertainty, preprocessing, or transport method.",domain_in_record|classifier_method|outcome_or_treatment_in_title,false
50,MED:30673970,30673970,PMC6491406,10.1007/s10549-018-05097-5,direct,exclude,high,no_relevant_discordance_stability_or_classifier_method,true,Re-interpretation of PAM50 gene expression as quantitative tumor dimensions shows utility for clinical trials: application to prognosis and response to paclitaxel in breast cancer.,"The record uses a relevant subtype or assay for prognosis, treatment, or outcome association without a qualifying reliability-method focus.",domain_in_title|domain_in_record|classifier_method|outcome_or_treatment_in_title,false
51,MED:31432367,31432367,PMC6797629,10.1007/s10549-019-05378-7,direct,exclude,moderate,no_relevant_discordance_stability_or_classifier_method,true,Agreement between molecular subtyping and surrogate subtype classification: a contemporary population-based study of ER-positive/HER2-negative primary breast cancer.,"The title and abstract do not jointly establish a qualifying single-sample classifier reliability, uncertainty, preprocessing, or transport method.",strong_method_in_title|strong_method_in_record|classifier_method,false
52,MED:31750258,31750258,PMC6848376,10.3389/fonc.2019.01178,direct,exclude,high,no_relevant_discordance_stability_or_classifier_method,true,Different Pathological Complete Response Rates According to PAM50 Subtype in HER2+ Breast Cancer Patients Treated With Neoadjuvant Pertuzumab/Trastuzumab vs. Trastuzumab Plus Standard Chemotherapy: An Analysis of Real-World Data.,"The record uses a relevant subtype or assay for prognosis, treatment, or outcome association without a qualifying reliability-method focus.",domain_in_title|domain_in_record|classifier_method|outcome_or_treatment_in_title,false
53,MED:31889145,31889145,PMC6937305,10.1038/s41598-019-56910-0,direct,exclude,moderate,no_relevant_discordance_stability_or_classifier_method,true,Oncotype DX Breast Cancer recurrence score resists inter-assay reproducibility with RT<sup>2</sup>-Profiler Multiplex RT-PCR.,"The title and abstract do not jointly establish a qualifying single-sample classifier reliability, uncertainty, preprocessing, or transport method.",strong_method_in_title|strong_method_in_record|classifier_method|outcome_or_treatment_in_title,false
54,MED:29148091,29148091,,10.1002/jum.14495,direct,exclude,moderate,no_relevant_discordance_stability_or_classifier_method,true,Intrinsic Subtypes of Breast Cancers Initially Assessed as Probably Benign or of Low Suspicion on Ultrasonography Differ According to Tumor Size.,"The title and abstract do not jointly establish a qualifying single-sample classifier reliability, uncertainty, preprocessing, or transport method.",domain_in_title|domain_in_record|classifier_method,false
55,MED:29172851,29172851,,10.1080/0284186x.2017.1401735,direct,exclude,high,no_relevant_discordance_stability_or_classifier_method,true,Intrinsic subtypes and benefit from postmastectomy radiotherapy in node-positive premenopausal breast cancer patients who received adjuvant chemotherapy - results from two independent randomized trials.,"The record uses a relevant subtype or assay for prognosis, treatment, or outcome association without a qualifying reliability-method focus.",domain_in_title|domain_in_record|classifier_method|outcome_or_treatment_in_title,false
56,MED:29369732,29369732,,10.1200/jco.2017.74.6586,direct,exclude,high,no_relevant_discordance_stability_or_classifier_method,true,PAM50 Risk of Recurrence Score Predicts 10-Year Distant Recurrence in a Comprehensive Danish Cohort of Postmenopausal Women Allocated to 5 Years of Endocrine Therapy for Hormone Receptor-Positive Early Breast Cancer.,"The record uses a relevant subtype or assay for prognosis, treatment, or outcome association without a qualifying reliability-method focus.",domain_in_title|domain_in_record|strong_method_in_record|classifier_method|outcome_or_treatment_in_title,false
57,MED:29650789,29650789,PMC5984724,10.1158/1055-9965.epi-17-0887,direct,exclude,moderate,no_relevant_discordance_stability_or_classifier_method,true,Reparameterization of PAM50 Expression Identifies Novel Breast Tumor Dimensions and Leads to Discovery of a Genome-Wide Significant Breast Cancer Locus at <i>12q15</i>.,"The title and abstract do not jointly establish a qualifying single-sample classifier reliability, uncertainty, preprocessing, or transport method.",domain_in_title|domain_in_record|classifier_method,false
58,MED:29763779,29763779,,10.1016/j.ctrv.2018.04.015,direct,exclude,moderate,no_relevant_discordance_stability_or_classifier_method,true,Clinical implications of the non-luminal intrinsic subtypes in hormone receptor-positive breast cancer.,"The title and abstract do not jointly establish a qualifying single-sample classifier reliability, uncertainty, preprocessing, or transport method.",domain_in_title|domain_in_record|classifier_method,false
59,MED:28069519,28069519,,10.1016/j.nbt.2017.01.001,direct,include,high,,true,Denaturing fixatives are compatible with the NanoString nCounter<sup>®</sup> platform and the Prosigna<sup>®</sup> assay.,"The title directly joins the locked classifier domain to a reliability, assay, preprocessing, uncertainty, or transport method.",domain_in_title|domain_in_record|strong_method_in_title|strong_method_in_record|classifier_method,false
60,MED:28885116,28885116,,10.1080/0284186x.2017.1360514,direct,unclear,low,,false,Intrinsic subtype characterization of local recurrences and new contralateral primary tumors in patients with low risk breast cancer. Influence of age and primary surgery.,No abstract is available; founder title-level adjudication is required.,domain_in_title|domain_in_record|classifier_method,false
61,MED:28972041,28972041,PMC5822712,10.1158/1078-0432.ccr-17-2301,direct,exclude,high,no_relevant_discordance_stability_or_classifier_method,true,PAM50 Provides Prognostic Information When Applied to the Lymph Node Metastases of Advanced Breast Cancer Patients.,"The record uses a relevant subtype or assay for prognosis, treatment, or outcome association without a qualifying reliability-method focus.",domain_in_title|domain_in_record|classifier_method|outcome_or_treatment_in_title,false
62,MED:29137653,29137653,PMC5686844,10.1186/s13058-017-0911-9,direct,exclude,high,no_relevant_discordance_stability_or_classifier_method,true,Prognostic value of PAM50 and risk of recurrence score in patients with early-stage breast cancer with long-term follow-up.,"The record uses a relevant subtype or assay for prognosis, treatment, or outcome association without a qualifying reliability-method focus.",domain_in_title|domain_in_record|classifier_method|outcome_or_treatment_in_title,false
63,PPR:PPR25166,,,10.1101/133397,direct,exclude,moderate,no_relevant_discordance_stability_or_classifier_method,true,Reparameterization of PAM50 expression identifies novel breast tumor dimensions and leads to discovery of a breast cancer susceptibility locus at 12q15,"The title and abstract do not jointly establish a qualifying single-sample classifier reliability, uncertainty, preprocessing, or transport method.",domain_in_title|domain_in_record|classifier_method,false
64,MED:26152740,26152740,,10.1158/1078-0432.ccr-15-0630,direct,exclude,high,no_relevant_discordance_stability_or_classifier_method,true,Prediction of Response to Neoadjuvant Chemotherapy Using Core Needle Biopsy Samples with the Prosigna Assay.,"The record uses a relevant subtype or assay for prognosis, treatment, or outcome association without a qualifying reliability-method focus.",domain_in_title|domain_in_record|strong_method_in_record|classifier_method|outcome_or_treatment_in_title,false
65,MED:26684063,26684063,PMC5245093,10.1002/ijc.29968,direct,exclude,moderate,no_relevant_discordance_stability_or_classifier_method,true,Reproductive risk factors in relation to molecular subtypes of breast cancer: Results from the nurses' health studies.,"The title and abstract do not jointly establish a qualifying single-sample classifier reliability, uncertainty, preprocessing, or transport method.",strong_method_in_title|strong_method_in_record|classifier_method,false
66,MED:26829108,26829108,PMC4735463,10.1371/journal.pone.0146474,direct,exclude,moderate,no_relevant_discordance_stability_or_classifier_method,true,"Estrogen-Receptor, Progesterone-Receptor and HER2 Status Determination in Invasive Breast Cancer. Concordance between Immuno-Histochemistry and MapQuant™ Microarray Based Assay.","The title and abstract do not jointly establish a qualifying single-sample classifier reliability, uncertainty, preprocessing, or transport method.",strong_method_in_title|strong_method_in_record|classifier_method,false
67,MED:27349894,27349894,PMC4924300,10.1186/s13058-016-0725-1,direct,exclude,moderate,no_relevant_discordance_stability_or_classifier_method,true,Intratumoral heterogeneity as a source of discordance in breast cancer biomarker classification.,"The title and abstract do not jointly establish a qualifying single-sample classifier reliability, uncertainty, preprocessing, or transport method.",strong_method_in_title|strong_method_in_record|classifier_method,false
68,MED:27484801,27484801,,10.1093/annonc/mdw262,direct,exclude,high,no_relevant_discordance_stability_or_classifier_method,true,Integrated evaluation of PAM50 subtypes and immune modulation of pCR in HER2-positive breast cancer patients treated with chemotherapy and HER2-targeted agents in the CherLOB trial.,"The record uses a relevant subtype or assay for prognosis, treatment, or outcome association without a qualifying reliability-method focus.",domain_in_title|domain_in_record|classifier_method|outcome_or_treatment_in_title,false
69,MED:27685983,27685983,PMC5042460,10.1371/journal.pone.0163238,direct,unclear,moderate,,true,Consensus Analysis of Whole Transcriptome Profiles from Two Breast Cancer Patient Cohorts Reveals Long Non-Coding RNAs Associated with Intrinsic Subtype and the Tumour Microenvironment.,"The abstract contains relevant classifier and reliability signals, but direct eligibility is not unambiguous from deterministic rules.",domain_in_title|domain_in_record|strong_method_in_record|classifier_method,false
