rank,record_key,pmid,pmcid,doi,priority_tier,recommendation,confidence,exclusion_reason,abstract_available,title,rationale,matched_signals,founder_decision_recorded
13,MED:38564259,38564259,PMC11145159,10.1158/1078-0432.ccr-23-3964,context,exclude,moderate,no_relevant_discordance_stability_or_classifier_method,true,Clinical Challenges of Consensus Molecular Subtype CMS4 Colon Cancer in the Era of Precision Medicine.,"The title and abstract do not jointly establish a qualifying single-sample classifier reliability, uncertainty, preprocessing, or transport method.",classifier_method,false
14,MED:38782602,38782602,PMC11116811,10.26508/lsa.202402730,context,exclude,moderate,no_relevant_discordance_stability_or_classifier_method,true,A consensus molecular subtypes classification strategy for clinical colorectal cancer tissues.,"The title and abstract do not jointly establish a qualifying single-sample classifier reliability, uncertainty, preprocessing, or transport method.",classifier_method,false
15,MED:39195201,39195201,PMC11352245,10.3390/cells13161311,context,exclude,moderate,no_relevant_discordance_stability_or_classifier_method,true,"Combined High-Throughput Proteomics and Random Forest Machine-Learning Approach Differentiates and Classifies Metabolic, Immune, Signaling and ECM Intra-Tumor Heterogeneity of Colorectal Cancer.","The title and abstract do not jointly establish a qualifying single-sample classifier reliability, uncertainty, preprocessing, or transport method.",classifier_method,false
16,MED:36496303,36496303,,10.1016/s2589-7500(22)00210-2,context,exclude,moderate,no_relevant_discordance_stability_or_classifier_method,true,Interpretable deep learning model to predict the molecular classification of endometrial cancer from haematoxylin and eosin-stained whole-slide images: a combined analysis of the PORTEC randomised trials and clinical cohorts.,"The title and abstract do not jointly establish a qualifying single-sample classifier reliability, uncertainty, preprocessing, or transport method.",strong_method_in_record|classifier_method,false
17,MED:38681775,38681775,PMC11045208,10.55730/1300-0152.2674,context,exclude,moderate,no_relevant_discordance_stability_or_classifier_method,true,Classification of colon cancer patients into consensus molecular subtypes using support vector machines.,"The title and abstract do not jointly establish a qualifying single-sample classifier reliability, uncertainty, preprocessing, or transport method.",classifier_method,false
18,MED:34475526,34475526,PMC8786661,10.1038/s41379-021-00894-8,context,exclude,moderate,no_relevant_discordance_stability_or_classifier_method,true,Image-based assessment of extracellular mucin-to-tumor area predicts consensus molecular subtypes (CMS) in colorectal cancer.,"The title and abstract do not jointly establish a qualifying single-sample classifier reliability, uncertainty, preprocessing, or transport method.",strong_method_in_record|classifier_method,false
19,MED:36293565,36293565,PMC9604175,10.3390/ijms232012707,context,unclear,moderate,,true,Correlation of Immunological and Histopathological Features with Gene Expression-Based Classifiers in Colon Cancer Patients.,"The abstract contains relevant classifier and reliability signals, but direct eligibility is not unambiguous from deterministic rules.",domain_in_record|strong_method_in_record|classifier_method,false
20,MED:34858988,34858988,PMC8631352,10.3389/fcell.2021.766503,context,exclude,moderate,no_relevant_discordance_stability_or_classifier_method,true,Pyroptosis-Mediated Molecular Subtypes and Tumor Microenvironment Infiltration Characterization in Colon Cancer.,"The title and abstract do not jointly establish a qualifying single-sample classifier reliability, uncertainty, preprocessing, or transport method.",classifier_method,false
21,MED:30796810,30796810,PMC6503627,10.1093/annonc/mdz052,context,exclude,moderate,no_relevant_discordance_stability_or_classifier_method,true,Context matters-consensus molecular subtypes of colorectal cancer as biomarkers for clinical trials.,"The title and abstract do not jointly establish a qualifying single-sample classifier reliability, uncertainty, preprocessing, or transport method.",classifier_method,false
22,MED:31885574,31885574,PMC6925684,10.1155/2019/3614207,context,exclude,moderate,no_relevant_discordance_stability_or_classifier_method,true,A Robust Gene Expression Prognostic Signature for Overall Survival in High-Grade Serous Ovarian Cancer.,"The title and abstract do not jointly establish a qualifying single-sample classifier reliability, uncertainty, preprocessing, or transport method.",strong_method_in_title|strong_method_in_record|classifier_method|outcome_or_treatment_in_title,false
23,MED:23269986,23269986,PMC3732011,10.1200/jco.2012.44.1444,context,exclude,moderate,no_relevant_discordance_stability_or_classifier_method,true,"Intrinsic molecular subtypes of glioma are prognostic and predict benefit from adjuvant procarbazine, lomustine, and vincristine chemotherapy in combination with other prognostic factors in anaplastic oligodendroglial brain tumors: a report from EORTC study 26951.","The title and abstract do not jointly establish a qualifying single-sample classifier reliability, uncertainty, preprocessing, or transport method.",domain_in_record|classifier_method|outcome_or_treatment_in_title,false
24,MED:18258979,18258979,,10.1200/jco.2007.15.1068,context,exclude,moderate,no_relevant_discordance_stability_or_classifier_method,true,Development of the 21-gene assay and its application in clinical practice and clinical trials.,"The title and abstract do not jointly establish a qualifying single-sample classifier reliability, uncertainty, preprocessing, or transport method.",,false
25,MED:18698038,18698038,,10.1158/1078-0432.ccr-08-0196,context,exclude,moderate,no_relevant_discordance_stability_or_classifier_method,true,Novel molecular subtypes of serous and endometrioid ovarian cancer linked to clinical outcome.,"The title and abstract do not jointly establish a qualifying single-sample classifier reliability, uncertainty, preprocessing, or transport method.",strong_method_in_record|classifier_method|outcome_or_treatment_in_title,false
26,MED:17618441,17618441,PMC1929165,10.1007/s00401-007-0243-4,context,exclude,moderate,no_relevant_discordance_stability_or_classifier_method,true,The 2007 WHO classification of tumours of the central nervous system.,"The title and abstract do not jointly establish a qualifying single-sample classifier reliability, uncertainty, preprocessing, or transport method.",classifier_method,false
27,MED:10870076,10870076,,10.1002/1097-0142(20000615)88:12<2887::aid-cncr32>3.0.co;2-f,context,unclear,low,,false,World Health Organization classification of tumors.,No abstract is available; founder title-level adjudication is required.,classifier_method,false
28,MED:41714596,41714596,PMC12920625,10.1038/s41392-026-02577-9,context,exclude,moderate,no_relevant_discordance_stability_or_classifier_method,true,The consensus molecular subtypes of esophageal squamous cell carcinoma.,"The title and abstract do not jointly establish a qualifying single-sample classifier reliability, uncertainty, preprocessing, or transport method.",strong_method_in_record|classifier_method,false
29,MED:42004227,42004227,PMC13090551,10.1016/j.gendis.2025.101974,context,exclude,moderate,no_relevant_discordance_stability_or_classifier_method,true,Identification of PLXNC1 as a novel biomarker for consensus molecular subtype 4 in colorectal cancer.,"The title and abstract do not jointly establish a qualifying single-sample classifier reliability, uncertainty, preprocessing, or transport method.",strong_method_in_record|classifier_method,false
30,MED:42242067,42242067,,10.1016/j.canep.2026.103120,context,exclude,moderate,no_relevant_discordance_stability_or_classifier_method,true,Image-based consensus molecular subtypes and colon cancer recurrence: Understanding the impact of lifestyle factors across subtypes of colon cancer.,"The title and abstract do not jointly establish a qualifying single-sample classifier reliability, uncertainty, preprocessing, or transport method.",classifier_method|outcome_or_treatment_in_title,false
31,MED:40557542,40557542,PMC12430884,10.1097/js9.0000000000002667,context,exclude,moderate,no_relevant_discordance_stability_or_classifier_method,true,Deep learning algorithms from histopathological images stratify molecular subtypes for leiomyosarcoma: a proof-and-concept diagnostic study.,"The title and abstract do not jointly establish a qualifying single-sample classifier reliability, uncertainty, preprocessing, or transport method.",classifier_method,false
32,MED:40865918,40865918,,10.1016/j.modpat.2025.100877,context,exclude,moderate,no_relevant_discordance_stability_or_classifier_method,true,Deep Learning on Histologic Slides Accurately Predicts Consensus Molecular Subtypes and Spatial Heterogeneity in Colon Cancer.,"The title and abstract do not jointly establish a qualifying single-sample classifier reliability, uncertainty, preprocessing, or transport method.",strong_method_in_record|classifier_method,false
33,MED:41164179,41164179,PMC12558839,10.3389/frai.2025.1647074,context,exclude,moderate,no_relevant_discordance_stability_or_classifier_method,true,A hybrid framework for enhanced segmentation and classification of colorectal cancer histopathology.,"The title and abstract do not jointly establish a qualifying single-sample classifier reliability, uncertainty, preprocessing, or transport method.",strong_method_in_record|classifier_method,false
34,MED:41256969,41256969,PMC12622963,10.1093/biomethods/bpaf077,context,exclude,moderate,no_relevant_discordance_stability_or_classifier_method,true,Deep learning-based classification of colorectal cancer in histopathology images for category detection.,"The title and abstract do not jointly establish a qualifying single-sample classifier reliability, uncertainty, preprocessing, or transport method.",strong_method_in_record|classifier_method,false
35,MED:41276825,41276825,PMC12763931,10.1186/s12957-025-04117-1,context,exclude,moderate,no_relevant_discordance_stability_or_classifier_method,true,Consensus Molecular Subtypes (CMS) Classification: a progress towards Subtype-Driven treatments in colorectal cancer.,"The title and abstract do not jointly establish a qualifying single-sample classifier reliability, uncertainty, preprocessing, or transport method.",classifier_method,false
36,MED:38231003,38231003,,10.1200/cci.23.00154,context,exclude,moderate,no_relevant_discordance_stability_or_classifier_method,true,Image-Based Subtype Classification for Glioblastoma Using Deep Learning: Prognostic Significance and Biologic Relevance.,"The title and abstract do not jointly establish a qualifying single-sample classifier reliability, uncertainty, preprocessing, or transport method.",classifier_method|outcome_or_treatment_in_title,false
37,MED:38319359,38319359,PMC10948573,10.1007/s00428-024-03746-3,context,exclude,moderate,no_relevant_discordance_stability_or_classifier_method,true,Molecular pathological classification of colorectal cancer-an update.,"The title and abstract do not jointly establish a qualifying single-sample classifier reliability, uncertainty, preprocessing, or transport method.",domain_in_record|classifier_method,false
38,MED:38594327,38594327,PMC11003957,10.1038/s41698-024-00580-3,context,exclude,moderate,no_relevant_discordance_stability_or_classifier_method,true,Image-based consensus molecular subtyping in rectal cancer biopsies and response to neoadjuvant chemoradiotherapy.,"The title and abstract do not jointly establish a qualifying single-sample classifier reliability, uncertainty, preprocessing, or transport method.",classifier_method|outcome_or_treatment_in_title,false
39,MED:37018649,37018649,,10.1200/jco.22.02582,context,exclude,moderate,no_relevant_discordance_stability_or_classifier_method,true,"Consensus Molecular Subtypes as Biomarkers of Fluorouracil and Folinic Acid Maintenance Therapy With or Without Panitumumab in <i>RAS</i> Wild-Type Metastatic Colorectal Cancer (PanaMa, AIO KRK 0212).","The title and abstract do not jointly establish a qualifying single-sample classifier reliability, uncertainty, preprocessing, or transport method.",strong_method_in_record|classifier_method|outcome_or_treatment_in_title,false
40,MED:37487150,37487150,PMC10581628,10.1200/po.22.00422,context,exclude,moderate,no_relevant_discordance_stability_or_classifier_method,true,Transcriptional Profiling and Consensus Molecular Subtype Assignment to Understand Response and Resistance to Anti-Epidermal Growth Factor Receptor Therapy in Colorectal Cancer.,"The title and abstract do not jointly establish a qualifying single-sample classifier reliability, uncertainty, preprocessing, or transport method.",classifier_method|outcome_or_treatment_in_title,false
41,MED:37958364,37958364,PMC10647687,10.3390/cancers15215190,context,exclude,moderate,no_relevant_discordance_stability_or_classifier_method,true,Leveraging Attention-Based Convolutional Neural Networks for Meningioma Classification in Computational Histopathology.,"The title and abstract do not jointly establish a qualifying single-sample classifier reliability, uncertainty, preprocessing, or transport method.",classifier_method,false
42,PPR:PPR600899,,,10.1101/2023.01.23.525135,context,exclude,moderate,no_relevant_discordance_stability_or_classifier_method,true,Charting the Heterogeneity of Colorectal Cancer Consensus Molecular Subtypes using Spatial Transcriptomics,"The title and abstract do not jointly establish a qualifying single-sample classifier reliability, uncertainty, preprocessing, or transport method.",classifier_method,false
43,MED:35069819,35069819,PMC8756434,10.3892/etm.2021.11061,context,exclude,moderate,no_relevant_discordance_stability_or_classifier_method,true,Synchronous biliary gallstones and colorectal cancer: A single center analysis.,"The title and abstract do not jointly establish a qualifying single-sample classifier reliability, uncertainty, preprocessing, or transport method.",strong_method_in_title|strong_method_in_record,false
44,MED:35119111,35119111,,10.1002/path.5879,context,exclude,moderate,no_relevant_discordance_stability_or_classifier_method,true,Deep learning based on hematoxylin-eosin staining outperforms immunohistochemistry in predicting molecular subtypes of gastric adenocarcinoma.,"The title and abstract do not jointly establish a qualifying single-sample classifier reliability, uncertainty, preprocessing, or transport method.",classifier_method,false
45,MED:35296803,35296803,PMC9276750,10.1038/s41416-022-01748-z,context,exclude,moderate,no_relevant_discordance_stability_or_classifier_method,true,Fibroblast activation protein identifies Consensus Molecular Subtype 4 in colorectal cancer and allows its detection by <sup>68</sup>Ga-FAPI-PET imaging.,"The title and abstract do not jointly establish a qualifying single-sample classifier reliability, uncertainty, preprocessing, or transport method.",classifier_method,false
46,MED:35298091,35298091,PMC9297751,10.1002/1878-0261.13210,context,exclude,moderate,no_relevant_discordance_stability_or_classifier_method,true,Development of a miRNA-based classifier for detection of colorectal cancer molecular subtypes.,"The title and abstract do not jointly establish a qualifying single-sample classifier reliability, uncertainty, preprocessing, or transport method.",strong_method_in_record|classifier_method,false
47,MED:35579189,35579189,PMC9383696,10.1039/d1lc01053k,context,exclude,moderate,no_relevant_discordance_stability_or_classifier_method,true,Microfluidic harvesting of breast cancer tumor spheroid-derived extracellular vesicles from immobilized microgels for single-vesicle analysis.,"The title and abstract do not jointly establish a qualifying single-sample classifier reliability, uncertainty, preprocessing, or transport method.",strong_method_in_record,false
48,MED:35758184,35758184,,10.1111/his.14708,context,exclude,moderate,no_relevant_discordance_stability_or_classifier_method,true,Deep-learning-based classification of desmoplastic reaction on H&E predicts poor prognosis in oesophageal squamous cell carcinoma.,"The title and abstract do not jointly establish a qualifying single-sample classifier reliability, uncertainty, preprocessing, or transport method.",classifier_method|outcome_or_treatment_in_title,false
49,MED:35954402,35954402,PMC9367605,10.3390/cancers14153740,context,exclude,moderate,no_relevant_discordance_stability_or_classifier_method,true,Consensus Molecular Subtypes Efficiently Classify Gastric Adenocarcinomas and Predict the Response to Anti-PD-1 Immunotherapy.,"The title and abstract do not jointly establish a qualifying single-sample classifier reliability, uncertainty, preprocessing, or transport method.",classifier_method|outcome_or_treatment_in_title,false
50,MED:36147916,36147916,PMC9486194,10.3389/fonc.2022.969855,context,exclude,moderate,no_relevant_discordance_stability_or_classifier_method,true,Consensus molecular subtype 4 (CMS4)-targeted therapy in primary colon cancer: A proof-of-concept study.,"The title and abstract do not jointly establish a qualifying single-sample classifier reliability, uncertainty, preprocessing, or transport method.",classifier_method|outcome_or_treatment_in_title,false
51,MED:36187924,36187924,PMC9489806,10.1016/j.csbj.2022.09.010,context,exclude,moderate,no_relevant_discordance_stability_or_classifier_method,true,The seen and the unseen: Molecular classification and image based-analysis of gastrointestinal cancers.,"The title and abstract do not jointly establish a qualifying single-sample classifier reliability, uncertainty, preprocessing, or transport method.",classifier_method,false
52,MED:33504830,33504830,PMC7840737,10.1038/s41598-021-81352-y,context,exclude,moderate,no_relevant_discordance_stability_or_classifier_method,true,Classification of colorectal tissue images from high throughput tissue microarrays by ensemble deep learning methods.,"The title and abstract do not jointly establish a qualifying single-sample classifier reliability, uncertainty, preprocessing, or transport method.",strong_method_in_record|classifier_method,false
53,MED:34253874,34253874,PMC8505637,10.1038/s41416-021-01477-9,context,exclude,moderate,no_relevant_discordance_stability_or_classifier_method,true,Molecular subtype-specific efficacy of anti-EGFR therapy in colorectal cancer is dependent on the chemotherapy backbone.,"The title and abstract do not jointly establish a qualifying single-sample classifier reliability, uncertainty, preprocessing, or transport method.",classifier_method|outcome_or_treatment_in_title,false
54,MED:34638407,34638407,PMC8507736,10.3390/cancers13194923,context,exclude,moderate,no_relevant_discordance_stability_or_classifier_method,true,Implications of Intratumor Heterogeneity on Consensus Molecular Subtype (CMS) in Colorectal Cancer.,"The title and abstract do not jointly establish a qualifying single-sample classifier reliability, uncertainty, preprocessing, or transport method.",classifier_method,false
55,MED:34715355,34715355,PMC8633680,10.1016/j.mcpro.2021.100168,context,exclude,moderate,no_relevant_discordance_stability_or_classifier_method,true,Proximity Extension Assay in Combination with Next-Generation Sequencing for High-throughput Proteome-wide Analysis.,"The title and abstract do not jointly establish a qualifying single-sample classifier reliability, uncertainty, preprocessing, or transport method.",strong_method_in_record,false
56,MED:31004000,31004000,,10.1158/1078-0432.ccr-18-3032,context,exclude,moderate,no_relevant_discordance_stability_or_classifier_method,true,A Clinically Applicable Gene-Expression Classifier Reveals Intrinsic and Extrinsic Contributions to Consensus Molecular Subtypes in Primary and Metastatic Colon Cancer.,"The title and abstract do not jointly establish a qualifying single-sample classifier reliability, uncertainty, preprocessing, or transport method.",strong_method_in_record|classifier_method,false
57,MED:29410488,29410488,,10.1038/s41379-018-0029-3,context,exclude,moderate,no_relevant_discordance_stability_or_classifier_method,true,Multiregion gene expression profiling reveals heterogeneity in molecular subtypes and immunotherapy response signatures in lung cancer.,"The title and abstract do not jointly establish a qualifying single-sample classifier reliability, uncertainty, preprocessing, or transport method.",classifier_method|outcome_or_treatment_in_title,false
58,MED:29458272,29458272,,10.1080/14737140.2018.1442217,context,exclude,moderate,no_relevant_discordance_stability_or_classifier_method,true,Difference between right-sided and left-sided colorectal cancers: from embryology to molecular subtype.,"The title and abstract do not jointly establish a qualifying single-sample classifier reliability, uncertainty, preprocessing, or transport method.",classifier_method,false
59,MED:30253752,30253752,PMC6156849,10.1186/s12864-018-5082-2,context,exclude,moderate,no_relevant_discordance_stability_or_classifier_method,true,Comparison of RNA-seq and microarray platforms for splice event detection using a cross-platform algorithm.,"The title and abstract do not jointly establish a qualifying single-sample classifier reliability, uncertainty, preprocessing, or transport method.",strong_method_in_title|strong_method_in_record|classifier_method,false
60,MED:28050011,28050011,,10.1038/nrc.2016.126,context,exclude,moderate,no_relevant_discordance_stability_or_classifier_method,true,Consensus molecular subtypes and the evolution of precision medicine in colorectal cancer.,"The title and abstract do not jointly establish a qualifying single-sample classifier reliability, uncertainty, preprocessing, or transport method.",classifier_method,false
61,MED:28122052,28122052,PMC5266269,10.1371/journal.pone.0170632,context,exclude,moderate,no_relevant_discordance_stability_or_classifier_method,true,A Comparison of RNA-Seq Results from Paired Formalin-Fixed Paraffin-Embedded and Fresh-Frozen Glioblastoma Tissue Samples.,"The title and abstract do not jointly establish a qualifying single-sample classifier reliability, uncertainty, preprocessing, or transport method.",classifier_method,false
62,MED:28158480,28158480,,10.1093/bioinformatics/btx027,context,exclude,moderate,no_relevant_discordance_stability_or_classifier_method,true,Image-based surrogate biomarkers for molecular subtypes of colorectal cancer.,"The title and abstract do not jointly establish a qualifying single-sample classifier reliability, uncertainty, preprocessing, or transport method.",classifier_method,false
63,MED:25961742,25961742,PMC4427337,10.1371/journal.pone.0126762,context,exclude,moderate,no_relevant_discordance_stability_or_classifier_method,true,Revealing the Molecular Portrait of Triple Negative Breast Tumors in an Understudied Population through Omics Analysis of Formalin-Fixed and Paraffin-Embedded Tissues.,"The title and abstract do not jointly establish a qualifying single-sample classifier reliability, uncertainty, preprocessing, or transport method.",classifier_method,false
64,MED:24454679,24454679,PMC3894192,10.1371/journal.pone.0078644,context,exclude,moderate,no_relevant_discordance_stability_or_classifier_method,true,Comparison of RNA-Seq and microarray in transcriptome profiling of activated T cells.,"The title and abstract do not jointly establish a qualifying single-sample classifier reliability, uncertainty, preprocessing, or transport method.",classifier_method,false
65,MED:23700391,23700391,PMC3660251,10.1371/journal.pmed.1001453,context,exclude,moderate,no_relevant_discordance_stability_or_classifier_method,true,"Gene expression classification of colon cancer into molecular subtypes: characterization, validation, and prognostic value.","The title and abstract do not jointly establish a qualifying single-sample classifier reliability, uncertainty, preprocessing, or transport method.",strong_method_in_record|classifier_method|outcome_or_treatment_in_title,false
66,MED:23902433,23902433,PMC3697991,10.1186/1471-2105-14-s9-s1,context,exclude,moderate,no_relevant_discordance_stability_or_classifier_method,true,Parallel comparison of Illumina RNA-Seq and Affymetrix microarray platforms on transcriptomic profiles generated from 5-aza-deoxy-cytidine treated HT-29 colon cancer cells and simulated datasets.,"The title and abstract do not jointly establish a qualifying single-sample classifier reliability, uncertainty, preprocessing, or transport method.",strong_method_in_record|classifier_method,false
67,MED:23977046,23977046,PMC3748065,10.1371/journal.pone.0071462,context,exclude,moderate,no_relevant_discordance_stability_or_classifier_method,true,Large scale comparison of gene expression levels by microarrays and RNAseq using TCGA data.,"The title and abstract do not jointly establish a qualifying single-sample classifier reliability, uncertainty, preprocessing, or transport method.",strong_method_in_record|classifier_method,false
68,MED:24365034,24365034,PMC3879183,10.1186/1471-2105-14-370,context,exclude,moderate,no_relevant_discordance_stability_or_classifier_method,true,"Blind spots of quantitative RNA-seq: the limits for assessing abundance, differential expression, and isoform switching.","The title and abstract do not jointly establish a qualifying single-sample classifier reliability, uncertainty, preprocessing, or transport method.",strong_method_in_record|classifier_method,false
69,MED:22747986,22747986,PMC3428653,10.1186/1755-8794-5-28,context,exclude,moderate,no_relevant_discordance_stability_or_classifier_method,true,A systematic comparison and evaluation of high density exon arrays and RNA-seq technology used to unravel the peripheral blood transcriptome of sickle cell disease.,"The title and abstract do not jointly establish a qualifying single-sample classifier reliability, uncertainty, preprocessing, or transport method.",strong_method_in_record|classifier_method,false
70,MED:23104886,23104886,PMC3530905,10.1093/bioinformatics/bts635,context,exclude,moderate,no_relevant_discordance_stability_or_classifier_method,true,STAR: ultrafast universal RNA-seq aligner.,"The title and abstract do not jointly establish a qualifying single-sample classifier reliability, uncertainty, preprocessing, or transport method.",classifier_method,false
71,MED:21816910,21816910,PMC3166838,10.1101/gr.121095.111,context,exclude,moderate,no_relevant_discordance_stability_or_classifier_method,true,Synthetic spike-in standards for RNA-seq experiments.,"The title and abstract do not jointly establish a qualifying single-sample classifier reliability, uncertainty, preprocessing, or transport method.",strong_method_in_record|classifier_method,false
72,MED:22067406,22067406,,10.1200/jco.2011.35.4498,context,exclude,moderate,no_relevant_discordance_stability_or_classifier_method,true,Development and independent validation of a prognostic assay for stage II colon cancer using formalin-fixed paraffin-embedded tissue.,"The title and abstract do not jointly establish a qualifying single-sample classifier reliability, uncertainty, preprocessing, or transport method.",classifier_method|outcome_or_treatment_in_title,false
73,MED:19920198,19920198,,10.1158/0008-5472.can-09-2307,context,exclude,moderate,no_relevant_discordance_stability_or_classifier_method,true,Intrinsic gene expression profiles of gliomas are a better predictor of survival than histology.,"The title and abstract do not jointly establish a qualifying single-sample classifier reliability, uncertainty, preprocessing, or transport method.",domain_in_record|classifier_method|outcome_or_treatment_in_title,false
74,MED:20150367,20150367,PMC2940562,10.1093/neuonc/nop007,context,exclude,moderate,no_relevant_discordance_stability_or_classifier_method,true,A multigene predictor of outcome in glioblastoma.,"The title and abstract do not jointly establish a qualifying single-sample classifier reliability, uncertainty, preprocessing, or transport method.",strong_method_in_record|classifier_method,false
75,MED:38933195,38933195,PMC11197495,10.1016/j.fmre.2022.06.008,context,exclude,moderate,no_relevant_discordance_stability_or_classifier_method,true,Deep learning framework for comprehensive molecular and prognostic stratifications of triple-negative breast cancer.,"The title and abstract do not jointly establish a qualifying single-sample classifier reliability, uncertainty, preprocessing, or transport method.",strong_method_in_record|classifier_method|outcome_or_treatment_in_title,false
76,PPR:PPR439651,,,10.1101/2022.01.04.474882,context,exclude,moderate,no_relevant_discordance_stability_or_classifier_method,true,Evaluation of a predictive method for the H&E-based molecular profiling of breast cancer with deep learning,"The title and abstract do not jointly establish a qualifying single-sample classifier reliability, uncertainty, preprocessing, or transport method.",,false
77,MED:27692773,27692773,,10.1016/j.clbc.2016.08.008,context,exclude,moderate,no_relevant_discordance_stability_or_classifier_method,true,Brain Metastasis Prediction by Transcriptomic Profiling in Triple-Negative Breast Cancer.,"The title and abstract do not jointly establish a qualifying single-sample classifier reliability, uncertainty, preprocessing, or transport method.",classifier_method,false
78,MED:26576432,26576432,PMC4630377,10.1155/2015/878546,context,exclude,moderate,no_relevant_discordance_stability_or_classifier_method,true,Identification of Gene Expression Pattern Related to Breast Cancer Survival Using Integrated TCGA Datasets and Genomic Tools.,"The title and abstract do not jointly establish a qualifying single-sample classifier reliability, uncertainty, preprocessing, or transport method.",classifier_method|outcome_or_treatment_in_title,false
