rank,record_key,pmid,pmcid,doi,priority_tier,recommendation,confidence,exclusion_reason,abstract_available,title,rationale,matched_signals,founder_decision_recorded
605,MED:40105178,40105178,,10.1177/09287329241296438,context,exclude,moderate,no_relevant_discordance_stability_or_classifier_method,true,Deep learning-driven multi-omics sequential diagnosis with Hybrid-OmniSeq: Unraveling breast cancer complexity.,"Second-stage review finds outcome, treatment, biomarker, taxonomy, or general molecular content without a direct contribution to the locked classifier reliability, uncertainty, preprocessing, or transport question.",domain_in_record|strong_method_in_record|classifier_method|second_stage_not_direct,false
618,MED:40904312,40904312,PMC12740281,10.4274/ejbh.galenos.2025.2025-6-7,context,exclude,high,review_editorial_or_commentary_for_citation_chaining_only,false,"Comment on ""Prognostic Importance of PTEN and P53 in Aggressive Luminal A Subtype Breast Cancers"".","Second-stage review identifies secondary, guideline, commentary, or perspective literature retained only for citation chaining.",classifier_method|outcome_or_treatment_in_title|second_stage_not_direct,false
636,MED:38233470,38233470,PMC10794186,10.1038/s41598-024-51947-2,context,exclude,moderate,no_relevant_discordance_stability_or_classifier_method,true,"LncRNA SOX9-AS1 triggers a transcriptional program involved in lipid metabolic reprogramming, cell migration and invasion in triple-negative breast cancer.","Second-stage review finds outcome, treatment, biomarker, taxonomy, or general molecular content without a direct contribution to the locked classifier reliability, uncertainty, preprocessing, or transport question.",domain_in_record|strong_method_in_record|classifier_method|second_stage_not_direct,false
643,MED:38593393,38593393,,10.1200/jco.23.02614,context,exclude,low,no_relevant_discordance_stability_or_classifier_method,false,Neoadjuvant Chemotherapy and Immunotherapy for Estrogen Receptor-Positive Human Epidermal Growth Factor 2-Negative Breast Cancer.,"Second-stage review finds outcome, treatment, biomarker, taxonomy, or general molecular content without a direct contribution to the locked classifier reliability, uncertainty, preprocessing, or transport question.",outcome_or_treatment_in_title|second_stage_not_direct,false
700,MED:38933497,38933497,PMC11208111,,context,exclude,low,no_relevant_discordance_stability_or_classifier_method,false,Changing the Paradigm in Prognostic Breast Cancer Testing Based on Extracellular Vesicles.,"Second-stage review finds outcome, treatment, biomarker, taxonomy, or general molecular content without a direct contribution to the locked classifier reliability, uncertainty, preprocessing, or transport question.",outcome_or_treatment_in_title|second_stage_not_direct,false
752,MED:32590453,32590453,PMC7755692,10.1097/pai.0000000000000864,context,exclude,moderate,no_relevant_discordance_stability_or_classifier_method,true,"Ki67 Immunohistochemistry Quantification in Breast Carcinoma: A Comparison of Visual Estimation, Counting, and ImmunoRatio.","Second-stage review finds outcome, treatment, biomarker, taxonomy, or general molecular content without a direct contribution to the locked classifier reliability, uncertainty, preprocessing, or transport question.",domain_in_record|strong_method_in_record|classifier_method|second_stage_not_direct,false
754,MED:33369665,33369665,PMC8246841,10.1093/jnci/djaa202,context,exclude,low,no_relevant_discordance_stability_or_classifier_method,false,Ki67 Assessment in Breast Cancer: Are We There Yet?,"Second-stage review finds outcome, treatment, biomarker, taxonomy, or general molecular content without a direct contribution to the locked classifier reliability, uncertainty, preprocessing, or transport question.",second_stage_not_direct,false
775,MED:34264759,34264759,PMC8457872,10.1200/go.21.00082,context,exclude,low,no_relevant_discordance_stability_or_classifier_method,false,Prevalence and Mortality of Triple-Negative Breast Cancer in West Africa: Biologic and Sociocultural Factors.,"Second-stage review finds outcome, treatment, biomarker, taxonomy, or general molecular content without a direct contribution to the locked classifier reliability, uncertainty, preprocessing, or transport question.",second_stage_not_direct,false
778,MED:34331376,34331376,,10.1111/tbj.14274,context,exclude,low,no_relevant_discordance_stability_or_classifier_method,false,Prediction and assessment of response to neo-adjuvant chemotherapy in breast cancer: The responsibilities of breast pathologists.,"Second-stage review finds outcome, treatment, biomarker, taxonomy, or general molecular content without a direct contribution to the locked classifier reliability, uncertainty, preprocessing, or transport question.",outcome_or_treatment_in_title|second_stage_not_direct,false
858,MED:31292488,31292488,PMC6620270,10.1038/s41598-019-46261-1,context,exclude,moderate,no_relevant_discordance_stability_or_classifier_method,true,Study of Gene Expression Profiles of Breast Cancers in Indian Women.,"Second-stage review finds outcome, treatment, biomarker, taxonomy, or general molecular content without a direct contribution to the locked classifier reliability, uncertainty, preprocessing, or transport question.",domain_in_record|strong_method_in_record|classifier_method|second_stage_not_direct,false
860,MED:31395590,31395590,PMC6825567,10.1158/1055-9965.epi-19-0365,context,exclude,moderate,no_relevant_discordance_stability_or_classifier_method,true,Evidence for Etiologic Subtypes of Breast Cancer in the Carolina Breast Cancer Study.,"Second-stage review finds outcome, treatment, biomarker, taxonomy, or general molecular content without a direct contribution to the locked classifier reliability, uncertainty, preprocessing, or transport question.",domain_in_record|strong_method_in_record|classifier_method|second_stage_not_direct,false
878,MED:28825136,28825136,,10.1007/s00428-017-2194-z,context,include,high,,true,Breast cancer subtype discrimination using standardized 4-IHC and digital image analysis.,"Second-stage review identifies a direct classifier, assay, platform, specimen, normalization, or implementation-comparison contribution relevant to the locked reliability question.",domain_in_record|strong_method_in_record|classifier_method|second_stage_direct_method,false
893,MED:29635411,29635411,,10.1093/annonc/mdy115,context,exclude,low,no_relevant_discordance_stability_or_classifier_method,false,Should decisions on adding adjuvant chemotherapy in early-stage ER-positive breast cancer be based on gene expression testing or clinicopathologic factors or both?,"Second-stage review finds outcome, treatment, biomarker, taxonomy, or general molecular content without a direct contribution to the locked classifier reliability, uncertainty, preprocessing, or transport question.",classifier_method|outcome_or_treatment_in_title|second_stage_not_direct,false
914,MED:27762648,27762648,,10.1080/0284186x.2016.1237778,context,exclude,moderate,no_relevant_discordance_stability_or_classifier_method,true,Histological grade provides significant prognostic information in addition to breast cancer subtypes defined according to St Gallen 2013.,"Second-stage review finds outcome, treatment, biomarker, taxonomy, or general molecular content without a direct contribution to the locked classifier reliability, uncertainty, preprocessing, or transport question.",domain_in_record|strong_method_in_record|classifier_method|outcome_or_treatment_in_title|second_stage_not_direct,false
1010,MED:25964251,25964251,,10.1200/jco.2015.61.2069,context,exclude,low,no_relevant_discordance_stability_or_classifier_method,false,Personalized Radiation Oncology for Breast Cancer: The New Frontier.,"Second-stage review finds outcome, treatment, biomarker, taxonomy, or general molecular content without a direct contribution to the locked classifier reliability, uncertainty, preprocessing, or transport question.",second_stage_not_direct,false
1027,MED:24500980,24500980,PMC4433527,10.1093/annonc/mdt595,context,exclude,low,no_relevant_discordance_stability_or_classifier_method,false,Prediction of benefit from chemotherapy in ER-positive/HER2-negative breast cancer--a problem still to be solved.,"Second-stage review finds outcome, treatment, biomarker, taxonomy, or general molecular content without a direct contribution to the locked classifier reliability, uncertainty, preprocessing, or transport question.",outcome_or_treatment_in_title|second_stage_not_direct,false
1036,MED:24803582,24803582,,10.1158/1078-0432.ccr-13-2943,context,exclude,moderate,no_relevant_discordance_stability_or_classifier_method,true,TP53 mutation spectrum in breast cancer is subtype specific and has distinct prognostic relevance.,"Second-stage review finds outcome, treatment, biomarker, taxonomy, or general molecular content without a direct contribution to the locked classifier reliability, uncertainty, preprocessing, or transport question.",domain_in_record|strong_method_in_record|classifier_method|outcome_or_treatment_in_title|second_stage_not_direct,false
1041,MED:24966473,24966473,PMC4062668,10.1007/s12291-014-0453-1,context,exclude,low,no_relevant_discordance_stability_or_classifier_method,false,The challenge of triple negative breast cancers.,"Second-stage review finds outcome, treatment, biomarker, taxonomy, or general molecular content without a direct contribution to the locked classifier reliability, uncertainty, preprocessing, or transport question.",second_stage_not_direct,false
1058,MED:25810795,25810795,PMC4345226,10.11604/pamj.2014.19.148.4195,context,exclude,low,no_relevant_discordance_stability_or_classifier_method,false,[Conservative treatment of breast cancer: experience of a Tunisian team].,"Second-stage review finds outcome, treatment, biomarker, taxonomy, or general molecular content without a direct contribution to the locked classifier reliability, uncertainty, preprocessing, or transport question.",second_stage_not_direct,false
1128,MED:22744170,22744170,,10.1097/pat.0b013e3283559e67,context,exclude,low,no_relevant_discordance_stability_or_classifier_method,false,Morphological and molecular analysis of a breast cancer cluster at the ABC Studio in Toowong.,"Second-stage review finds outcome, treatment, biomarker, taxonomy, or general molecular content without a direct contribution to the locked classifier reliability, uncertainty, preprocessing, or transport question.",second_stage_not_direct,false
1145,MED:21347257,21347257,PMC3037966,10.1371/journal.pone.0017163,context,include,high,,true,Gene expression profiles from formalin fixed paraffin embedded breast cancer tissue are largely comparable to fresh frozen matched tissue.,"Second-stage review identifies a direct classifier, assay, platform, specimen, normalization, or implementation-comparison contribution relevant to the locked reliability question.",domain_in_record|strong_method_in_record|classifier_method|second_stage_direct_method,false
1161,MED:22054462,22054462,,10.1016/j.annpat.2011.08.022,context,exclude,low,no_relevant_discordance_stability_or_classifier_method,false,[Proliferation evaluation by measuring Ki67 in breast neoplasms].,"Second-stage review finds outcome, treatment, biomarker, taxonomy, or general molecular content without a direct contribution to the locked classifier reliability, uncertainty, preprocessing, or transport question.",second_stage_not_direct,false
1165,MED:30754111,30754111,,10.1586/eem.11.28,context,exclude,low,no_relevant_discordance_stability_or_classifier_method,false,"Endocrinology of breast cancer: results, tasks and hopes.","Second-stage review finds outcome, treatment, biomarker, taxonomy, or general molecular content without a direct contribution to the locked classifier reliability, uncertainty, preprocessing, or transport question.",second_stage_not_direct,false
1183,MED:20432524,20432524,,10.1038/nrclinonc.2010.56,context,exclude,low,no_relevant_discordance_stability_or_classifier_method,false,SSP reliability for breast cancer.,"Second-stage review finds outcome, treatment, biomarker, taxonomy, or general molecular content without a direct contribution to the locked classifier reliability, uncertainty, preprocessing, or transport question.",second_stage_not_direct,false
1208,PMC:PMC2905281,,PMC2905281,10.1038/sj.bjc.6605681,context,exclude,low,no_relevant_discordance_stability_or_classifier_method,false,Breast cancer in the post-genomic era,"Second-stage review finds outcome, treatment, biomarker, taxonomy, or general molecular content without a direct contribution to the locked classifier reliability, uncertainty, preprocessing, or transport question.",second_stage_not_direct,false
1223,MED:19191098,19191098,,10.1080/07357900802574710,context,exclude,low,no_relevant_discordance_stability_or_classifier_method,false,Development and validation of gene expression profile signatures in early-stage breast cancer.,"Second-stage review finds outcome, treatment, biomarker, taxonomy, or general molecular content without a direct contribution to the locked classifier reliability, uncertainty, preprocessing, or transport question.",classifier_method|second_stage_not_direct,false
1224,MED:19228622,19228622,,10.1056/nejmra0801289,context,exclude,low,no_relevant_discordance_stability_or_classifier_method,false,Gene-expression signatures in breast cancer.,"Second-stage review finds outcome, treatment, biomarker, taxonomy, or general molecular content without a direct contribution to the locked classifier reliability, uncertainty, preprocessing, or transport question.",second_stage_not_direct,false
1270,MED:18631198,18631198,,10.1111/j.1365-2559.2008.03075.x,context,exclude,low,no_relevant_discordance_stability_or_classifier_method,false,Oestrogen receptor status of breast carcinoma: Allred/H score conversion table.,"Second-stage review finds outcome, treatment, biomarker, taxonomy, or general molecular content without a direct contribution to the locked classifier reliability, uncertainty, preprocessing, or transport question.",second_stage_not_direct,false
1336,MED:42056253,42056253,,10.1038/s41598-026-46858-3,context,exclude,low,no_relevant_discordance_stability_or_classifier_method,false,Circulating tumor cell-derived lines exhibit an amoeboid mode of migration.,"Second-stage review finds outcome, treatment, biomarker, taxonomy, or general molecular content without a direct contribution to the locked classifier reliability, uncertainty, preprocessing, or transport question.",second_stage_not_direct,false
1429,MED:38148643,38148643,PMC10751511,10.1002/ctm2.1520,context,exclude,low,no_relevant_discordance_stability_or_classifier_method,false,Macrophage-derived TNF-enriched tumour microenvironment shapes pancreatic ductal adenocarcinoma into the basal-like molecular phenotype through upregulating TAp63.,"Second-stage review finds outcome, treatment, biomarker, taxonomy, or general molecular content without a direct contribution to the locked classifier reliability, uncertainty, preprocessing, or transport question.",second_stage_not_direct,false
1448,MED:35813200,35813200,PMC9261346,10.3389/fcell.2022.913307,context,exclude,moderate,no_relevant_discordance_stability_or_classifier_method,true,N6-Methyladenosine Modification Patterns and Tumor Microenvironment Immune Characteristics Associated With Clinical Prognosis Analysis in Stomach Adenocarcinoma.,"Second-stage review finds outcome, treatment, biomarker, taxonomy, or general molecular content without a direct contribution to the locked classifier reliability, uncertainty, preprocessing, or transport question.",domain_in_record|strong_method_in_record|classifier_method|outcome_or_treatment_in_title|second_stage_not_direct,false
1458,MED:33306424,33306424,,10.1200/jco.20.03234,context,exclude,low,no_relevant_discordance_stability_or_classifier_method,false,Better Together: Clinical and Genomic Data to Inform Shared Decision Making.,"Second-stage review finds outcome, treatment, biomarker, taxonomy, or general molecular content without a direct contribution to the locked classifier reliability, uncertainty, preprocessing, or transport question.",second_stage_not_direct,false
1467,MED:33890063,33890063,,10.1093/jjco/hyab054,context,exclude,moderate,no_relevant_discordance_stability_or_classifier_method,true,Patterns of immune infiltration in gastric cancer and their clinical significance.,"Second-stage review finds outcome, treatment, biomarker, taxonomy, or general molecular content without a direct contribution to the locked classifier reliability, uncertainty, preprocessing, or transport question.",domain_in_record|strong_method_in_record|classifier_method|second_stage_not_direct,false
1468,MED:34036232,34036232,PMC8140804,10.1200/po.20.00287,context,exclude,low,no_relevant_discordance_stability_or_classifier_method,false,Tumor-Infiltrating Leukocyte Phenotypes Distinguish Outcomes in Related Patients With Pancreatic Adenocarcinoma.,"Second-stage review finds outcome, treatment, biomarker, taxonomy, or general molecular content without a direct contribution to the locked classifier reliability, uncertainty, preprocessing, or transport question.",second_stage_not_direct,false
1509,MED:29063189,29063189,,10.1007/s00428-017-2248-2,context,exclude,low,no_relevant_discordance_stability_or_classifier_method,false,Cellular subtype may predict survival outcomes in salivary adenoid cystic carcinoma patients-a single-institution experience.,"Second-stage review finds outcome, treatment, biomarker, taxonomy, or general molecular content without a direct contribution to the locked classifier reliability, uncertainty, preprocessing, or transport question.",classifier_method|outcome_or_treatment_in_title|second_stage_not_direct,false
1538,MED:29767613,29767613,,10.2217/pme-2016-0010,context,exclude,low,no_relevant_discordance_stability_or_classifier_method,false,Clinical RNA sequencing in oncology: where are we?,"Second-stage review finds outcome, treatment, biomarker, taxonomy, or general molecular content without a direct contribution to the locked classifier reliability, uncertainty, preprocessing, or transport question.",second_stage_not_direct,false
1614,MED:41668911,41668911,PMC12884078,10.21037/gs-2025-aw-498,context,exclude,low,no_relevant_discordance_stability_or_classifier_method,false,Neoadjuvant therapy in resectable and borderline resectable pancreatic cancer-safe but standard of care?,"Second-stage review finds outcome, treatment, biomarker, taxonomy, or general molecular content without a direct contribution to the locked classifier reliability, uncertainty, preprocessing, or transport question.",outcome_or_treatment_in_title|second_stage_not_direct,false
1702,MED:40929645,40929645,,10.1200/jco-25-01298,context,exclude,low,no_relevant_discordance_stability_or_classifier_method,false,Bridging the Gap: Molecular Profiling to Guide Treatment Selection in Metastatic Pancreatic Cancer.,"Second-stage review finds outcome, treatment, biomarker, taxonomy, or general molecular content without a direct contribution to the locked classifier reliability, uncertainty, preprocessing, or transport question.",second_stage_not_direct,false
1714,MED:41199749,41199749,PMC12588580,10.3389/fgene.2025.1690947,context,exclude,moderate,no_relevant_discordance_stability_or_classifier_method,true,Multi-omics identification and validation of oxidative phosphorylation-related hub genes in schizophrenia.,"Second-stage review finds outcome, treatment, biomarker, taxonomy, or general molecular content without a direct contribution to the locked classifier reliability, uncertainty, preprocessing, or transport question.",domain_in_record|strong_method_in_record|classifier_method|second_stage_not_direct,false
1762,MED:38538287,38538287,,10.31083/j.fbl2903121,context,exclude,moderate,no_relevant_discordance_stability_or_classifier_method,true,An Integrated Machine Learning Framework Identifies Prognostic Gene Pair Biomarkers Associated with Programmed Cell Death Modalities in Clear Cell Renal Cell Carcinoma.,"Second-stage review finds outcome, treatment, biomarker, taxonomy, or general molecular content without a direct contribution to the locked classifier reliability, uncertainty, preprocessing, or transport question.",domain_in_record|strong_method_in_record|classifier_method|outcome_or_treatment_in_title|second_stage_not_direct,false
1800,MED:39369615,39369615,PMC11490758,10.1016/j.ebiom.2024.105380,context,exclude,low,no_relevant_discordance_stability_or_classifier_method,false,Big insights from small samples: uncovering the potential of EUS-guided FNAs in pancreatic cancer through predictive genomics and transcriptomics.,"Second-stage review finds outcome, treatment, biomarker, taxonomy, or general molecular content without a direct contribution to the locked classifier reliability, uncertainty, preprocessing, or transport question.",classifier_method|second_stage_not_direct,false
1804,MED:39445795,39445795,PMC11602161,10.1093/nar/gkae915,context,exclude,moderate,no_relevant_discordance_stability_or_classifier_method,true,OmicsFootPrint: a framework to integrate and interpret multi-omics data using circular images and deep neural networks.,"Second-stage review finds outcome, treatment, biomarker, taxonomy, or general molecular content without a direct contribution to the locked classifier reliability, uncertainty, preprocessing, or transport question.",domain_in_record|strong_method_in_record|classifier_method|second_stage_not_direct,false
1876,MED:34382739,34382739,PMC8763659,10.1002/1878-0261.13075,context,exclude,moderate,no_relevant_discordance_stability_or_classifier_method,true,SLUG-related partial epithelial-to-mesenchymal transition is a transcriptomic prognosticator of head and neck cancer survival.,"Second-stage review finds outcome, treatment, biomarker, taxonomy, or general molecular content without a direct contribution to the locked classifier reliability, uncertainty, preprocessing, or transport question.",domain_in_record|strong_method_in_record|classifier_method|outcome_or_treatment_in_title|second_stage_not_direct,false
1909,MED:35848462,35848462,PMC9558692,10.1002/cac2.12335,context,exclude,low,no_relevant_discordance_stability_or_classifier_method,false,Limitation and challenges in using pancreatic cancer-derived organoids as a preclinical tool.,"Second-stage review finds outcome, treatment, biomarker, taxonomy, or general molecular content without a direct contribution to the locked classifier reliability, uncertainty, preprocessing, or transport question.",second_stage_not_direct,false
